"Date","Volume","Cash","Trades","Bar Size","High","Low","Open","Close","Delta T/D","Delta Aggressor","H/L Side","O/C Side","O/C Size","Max Volume","M/V Price","M/V Trades","M/V Delta T/D","M/V Delta Aggressor","Max Trade","Hidden Volume","TPO High","TPO Low","COT High","COT Low","Max Delta T/D","Max Delta Aggressor"
"2024-05-01 00:00:00","314511289","162406738655","2309191","321","531,5","499,5","501,4","528,7","727467","4633159","1","1","273","4662237","517,4","33850","147891","118031","74970","276353971","529,3","508,5","1187424","4638081","983748","958656"
"2024-04-01 00:00:00","682430346","347849682826","5034747","320","525,8","493,9","525,8","501,3","-8764804","-2113594","-1","-1","245","8180639","518,8","58351","-243435","-142719","750000","698103926","520,9","503,4","-2113003","-2762422","634560","682130"
"2024-03-01 00:00:00","557528417","287299843033","4237434","198","524,6","504,9","509,2","523","-6656663","-3233635","1","1","138","7431570","514,7","57330","-165852","-430638","-1157014","673398030","518,2","506,4","-396292","-3771203","-1178461","-949291"
"2024-02-01 00:00:00","585680566","292128906324","4198607","264","510,1","483,8","484,2","508,6","-3764508","944284","1","1","244","6204556","498","44414","-172722","-44232","162593","580866996","503,7","487,1","1701515","868117","-527872","-568910"
"2024-01-01 00:00:00","680180613","325211331760","4531326","271","491,6","464,6","476,3","484","-5825621","-2171161","1","1","77","9059050","487,4","63145","101508","-80044","-172775","741530153","489,2","472","-1154920","-1320544","-555617","550064"
"2023-12-01 00:00:00","638064012","297993543126","4395871","235","477,6","454,2","457,3","475,1","-2138478","-414462","1","1","178","8898945","475,4","60570","-154769","-293865","211855","616044782","477,5","460,3","1754300","-736075","827054","787866"
"2023-11-01 00:00:00","649988116","288262662327","4229309","422","458,3","416,2","417,5","456,2","10964462","8045016","1","1","387","13500906","455","90186","1364326","1217072","1600000","831848614","458,3","436,1","1129250","8007928","1836803","1873813"
"2023-10-01 00:00:00","871085248","370421761844","5526857","298","438,6","408,9","429,9","417,3","2099104","7899212","-1","-1","126","8332549","422,5","52872","-27149","148157","-500000","1088495860","436","420,3","2378783","1114705","1665408","1720426"
"2023-09-01 00:00:00","720580732","316316040882","4589535","315","453,7","422,3","451,1","427,5","-10113704","-6608318","-1","-1","236","8977963","443,6","50194","-1730749","-1536813","-1100000","856914915","453,7","431,3","-6641833","1796391","-2617195","-2378345"
"2023-08-01 00:00:00","810657691","360579512897","5188921","253","458,2","433","457,8","450,7","-7180561","-7316177","-1","-1","71","10321267","451","52616","-674793","-597659","-1411955","921000887","452,2","440","-7346602","-3249898","-2167274","-2264046"
